MARA-MATNR	MARA-MTART	MARA-YYGTYPKURZB	MARA-ZZBCODE	MARA-ZZUPDKT	GD-TEXT_DE	GD-TEXT_EN	GD-TEXT_FR	GD-TEXT_IT	GD-TEXT_NL	GD-TEXT_PT	GD-TEXT_ES	GD-TEXT_FI	GD-TEXT_SV	IV-TEXT_DE	IV-TEXT_EN	IV-TEXT_FR	IV-TEXT_IT	IV-TEXT_NL	IV-TEXT_PT	IV-TEXT_ES	IV-TEXT_FI	IV-TEXT_SV	MARA-MEINS	MARA-SPART	MARA-MATKL	MARA-LABOR	MARA-BISMT	MARA-ZZNEUMT	MARA-ZZBOSCHMAT	MARA-PRDHA	MARA-MTPOS_MARA	MARA-ZZVORZTYP	MARA-BEGRU	MARC-MMSTA	MARC-MMSTD	MARA-ZZVWERK	MARA-BRGEW	MARA-NTGEW	MARA-GEWEI	MARA-VOLUM	MARA-VOLEH	MARA-GROES	MARA-NORMT	MARA-WRKST	MARA-KZUMW	MARA-YYGEXPDAT	MARA-ILOOS	MARA-ZEINR	MARA-ZEIAR	MARA-ZEIVR	MARA-BLATT	MARA-AESZN	MARA-ZEIFO	MARA-BLANZ	MVKE-AUMNG	MVKE-LFMNG	MVKE-SCMNG	MVKE-MVGR3	MARA-ZZRCL	MVKE-SCHME	MARC-HERKL	MARC-HERKR	MARC-STAWN	MARC-MAXLZ	MARC-LZEIH	MARC-ZZLOGKL	MARA-YYGPARTCAT1	MARA-YYGPARTCAT2	MATNR_ASCO	CCODE_ASCO
EM70001499														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70106837														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70106850														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70085567														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70103777														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70085515														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70082669														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70000376														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70078920														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70106836														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70001408														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70001412														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70001502														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70048943														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70051778														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70085894														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70A10395														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70085444														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70085784														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70A11908														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70A10441														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70000556														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70000587														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70115169														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70086514														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70001350														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70110455														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70001411														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70085314														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70A10243														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70001995														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70002173														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70086473														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70085897														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70086226														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70077184														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70087060														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70087066														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70086234														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70055486														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70A10042														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70055931														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70056379														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70A12223														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70057061														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70115215														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70001246														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70A10506														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70052648														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70109558														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70087021														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70087033														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70087055														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70077193														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70114923														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70114896														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70052164														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70052202														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70087031														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70087053														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70088304														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70000229														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70001994														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70002672														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70086533														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70085741														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70A10744														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70048897														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70106848														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70A11191														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70A11107														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70058251														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70048445														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70077532														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70004332														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70004772														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70088367														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70A11389														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70A10974														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70114654														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70005020														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70005067														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70A10287														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70048232														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
2611091800														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70077228														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70115216														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70049000														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70085911														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70005241														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70005254														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70048164														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70103870														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70110227														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70117114														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70110228														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70117410														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70088288														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70A11163														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70005661														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70005664														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70005672														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70005676														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70005690														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70005710														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70005711														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70005731														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70005739														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70005751														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70005757														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70005773														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70005816														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70005826														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70005885														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70005908														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70005946														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70005979														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70006002														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70006008														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70006010														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70006011														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70006013														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70006018														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70006020														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70006030														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70106854														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70059023														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
EM70113611														15.05.2025: Item Status modified | Syteline-SAP syncronisation |	2025-05-15: Item Status modified | Syteline-SAP syncronisation |																		4000	AE																									QC01											
